sites,latitude
Gern-Alm,47.45
"Zillertal, Hintertux/ Weitental",47.1
"Zillertal, Lanersbach",47.15
"Ötztal, Vent/ Gample",46.86666667
"Kiel, Dietrichsdorf",54.33333333
Katinger Watt,54.31666667
Hennestrand,55.73333333
Vejersstrand,55.61666667
Rogerfelde,54.1
Altenkrempe,54.11666667
Mellum,53.81666667
Stendorf,53.2
Dovrefjell,62.18333333
"Jotunheimen, Breiseterdalen",61.6
Geilo,60.51666667
"Vogelsberg, Hoherodskopf",50.5
"Taunus, Oberreiffenberg",50.23333333
Obertauern I,47.23333333
Falzthurn-Alm,47.41666667
Gramai-Alm,47.38333333
Halltal,47.75
"Ötztal, Obergurgl",46.86666667
"Ötztal, Vent/ Am Spiegel",46.85
"Grimselpaß, Räterichsbodensee",46.56666667
"Saastal, Mattmark",46.05
"Nufenenpaß, Paßhöhe I",46.46666667
"Ötztal, Vent/ Rofental",46.85
"Obergoms, Gletsch",46.55
Binntal nr. Fiesch,46.35
"Obergoms, Reckingen",46.46666667
Ketsch,49.35
Torun,53.01666667
Griesheim bei Darmstadt,49.85
Peer Gynt veien I,61.5
"Tretten, Nordbu nr. Ringebu",61.33333333
Peer Gynt veien II,61.46666667
Skoganvatnet,64.21666667
Korgfjellet,66.03333333
Polarkreis I,66.55
"Lofot, Sandsletta",68.33333333
Bardu,68.85
Ramfjorden,69.53333333
Kvaenangsbotn,69.75
"Alta, Baeskades",69.71666667
Kilpisjärvi,69.05
"Narvik, Björnfjell",68.43333333
"Torne Träsk, Abisko",68.31666667
Oppdal,62.53333333
"Tyssedal, Ringedalsvatn",60.11666667
"Kühkopf, Mordhecke I",49.81666667
"Taunus, Waldems-Esch",50.23333333
"Kühkopf, Mordhecke III",49.85
Planneralm II,47.4
Tauplitzalm,47.58333333
Bad Aussee,47.6
Kruklanki,54.08333333
Lapphaugen bei Bardu,68.65
"Folldal, Dahlholen",62.11666667
"Garguluobbal, Karasjok",69.48333333
"N.-Varanger, Tanabru",70.18333333
"N.-Varanger, Sandfjord",70.78333333
"N.-Varanger, Sandfjord, Fjell",70.78333333
Ifjordfjellet / Gilojokka,70.46666667
"Polarkreis, Krokstrand",66.45
"Ötztal, Obergurgl/ Bruggboden",46.85
"Pitztal, Nähe Mittelberg",46.95
Arolla,46.01666667
Neiden,69.7
"S.-Varanger, Svanvik",69.45
Polarkreis II,66.6
Polarkreis III,66.65
"Namsskogan, Mellingsmoen",64.91666667
"Lusterfjord, Höyheimsvik",61.38333333
Vikafjell bei Viksöyri,61.06666667
Seljestad bei Odda,60.0
Maltatal I,47.05
Norderney,53.7
Borkum,53.6
Jechtingen,48.11666667
Mahndorf,53.01666667
"Taunus, Usingen",50.35
Obertauern II,47.25
"Zederhaustal, Oberweißburg",47.1
"Murtal, Muhr",47.08333333
"Tauernpaß, Tweng",47.18333333
"Obergoms, Oberwald",46.53333333
"Grimselpaß, Grimselsee",46.56666667
"Mattertal, Täsch",46.05
"Obergoms, Obergesteln",46.5
"Nufenenpaß, Paßhöhe II",46.46666667
"Nufenenpaß, Val de Bedretto I",46.46666667
"Nufenenpaß, Val de Bedretto II",46.48333333
"Val Divedro, Domodossola",46.2
"Mörfelden, Baggersee",49.98333333
"Limeshain, Rommelhausen",50.23333333
Ortenberg I,50.33333333
"Taunus, Dorfweil",50.26666667
"Val di Egro, Mt. Tremalzo II",45.85
"Paso di Gavia, Pezzo",46.4
"Paso del Maniva, Dosso Alto",45.81666667
Paso del Tonale,46.25
"Nufenenpaß, Aegtnental",46.48333333
"Taunus, Hunoldstal",50.28333333
Kilianstätten,50.18333333
"Preetz, Postsee",54.21666667
St. Peter-Ording,54.26666667
"Tauernpaß, Untertauern II",47.26666667
"Kühkopf, Mordhecke II",49.81666667
Hospental,46.6
"Schwarzwald, Altglashütten",47.85
"Schwarzwald, Schluchsee",47.83333333
Schrems-Pürbach,48.75
Etzen,48.55
"S.-Varanger, Vaggatem",69.26666667
"S.-Varanger, Nyrud",69.13333333
Ifjordfjellet II,70.41666667
"S.-Varanger, Nyelv",70.06666667
Lavangsdalen,69.53333333
Skagen,57.71666667
Fauske,67.26666667
Jostedalen,61.65
Stiklestad,63.78333333
Heimhulhatten,63.93333333
Taernaby / Tjamerev.,65.7
"Riu di Pula, bei Cagliari",39.0
"S.-Varanger, Vaggatem, Elentj.",69.2
Kafjordbotn,69.48333333
Nordfjorden,63.75
Skjelingen,61.0
Skutevik,59.91666667
"Dachsteingebirge, Hoferalm b. Filzmos",47.43333333
Obertauern III,47.23333333
"Dachsteinstraße, Ramsau",47.43333333
Schremser Moor,48.78333333
Bad Ischl,47.71666667
Purath nr. Arbesbach,48.46666667
Arbesbach I,48.48333333
Arbesbach II,48.48333333
Arbesbach III,48.48333333
"Altenstadt, Nidder",50.28333333
Rheinau (Jungwuchs),48.68333333
"Urdenbach, Urdenbacher Kämpe",51.11666667
Grietherbusch / Dornick,51.8
Zillis,46.63333333
Rheinau,48.68333333
Hartheim,47.93333333
Honau,48.65
Juppa,46.43333333
Lago di Lei,46.46666667
Julierpaß bei Bivio,46.45
Albulapaß nr. Paßhöhe,46.56666667
Ried / Oberinntal,47.05
Montespluga,46.48333333
"Lofot, Grunnfjord",68.46666667
"S.-Varanger, Vaggatem, Gjökasen",69.21666667
Großgerungs,48.76666667
Karasjok,69.46666667
Lakselv / Stabursnes,70.06666667
"N.-Varanger, Reppen",70.03333333
"Lofot, Austvagoya, Morfjord",68.38333333
"Defereggental, Stalleralm",46.88333333
"Hohe Tauern, Kals",47.0
"Defereggental, St. Jakob, Trojer Alm",46.91666667
Karben,50.21666667
"Taunus, Waldems-Reichenbach",50.25
"Frankfurt, Riedwiese",50.16666667
Olperer,47.1
"Zillertal, Lanersbach/ Geiselalm",47.16666667
"Ötztal, Obergurgl/ Gaisbergf.",46.86666667
Nymindegab,55.81666667
Steinkjer,64.01666667
"Lofot, Laubstad",68.35
Kirkenes,69.7
Leitenberg,48.06666667
"Schwarzwald, Feldberg",47.85
"Schwarzwald, Todtnau",47.81666667
Moorburg,53.48333333
"Kiel, Langsee",54.3
Howacht 3,54.3
"Defereggental, Erlsbach",46.9
Weißenbach,48.88333333
"Ramsau, Silberklamm",47.41666667
"Schönfeld, Dr. Josef Mehrlhütte",46.96666667
"Usedom, Ziemitz",54.01666667
"Wüstensachsen, NWR Stirnberg",50.48333333
Waldverchs,48.58333333
"Schladming, Untertal, Riesachfälle",47.35
Markelfingen,47.73333333
Hegne nr. Allensbach,47.7
Kattenhorn nr. Wangen / Bodensee /Untersee,47.65
Storuman,65.08333333
"Lofot, Austvagoya, Delp",68.4
Steinamoen,60.91666667
Leira nr. Trondheim,63.58333333
"Dovrefjell, Grönbakken",62.26666667
Peer Gynt veien III,61.35
Kjölen nr. Halden,59.2
Süder-Friedrichs-Koog,54.33333333
Horn / Bodensee / Gnadensee,47.68333333
"Neuwilen, Bommer Weiher",47.61666667
"Radolfzell, Mettnau",47.71666667
"Rügen, Bergen / Kaiseritz",54.41666667
"Rügen, Glowitz",54.31666667
"Rügen, Neukamp",54.31666667
Modrus,45.11666667
Rastenfeld,48.56666667
Weinfelden / Thur,47.55
Markelfingen / Schlafbach,47.71666667
"Radolfzell, Mindelsee",47.73333333
"Rügen, Zittvitz",54.41666667
"Rügen, Neuensien",54.35
"Rügen, Dolgemost",54.36666667
"Rügen, Bergen / Nonnenweiher",54.43333333
"Rügen, Stedar",54.43333333
Palanga,55.93333333
Kiduliai nr. Jurbarkas,55.06666667
nr. Rociskiai,55.01666667
nr. Grabnik,53.85
Siluva,55.53333333
Sudargas,55.03333333
Jurbarkas,55.06666667
"Klausdorf, Schwentine",54.3
Langen-Bergheim,50.23333333
"Radolfzell, Markelfingen, Hornhalde",47.73333333
"Mühlhofen, Alseweiher",47.73333333
Röros,62.66666667
Kvamskogen,60.36666667
"Meldal, Resvatnet",62.95
"Rondane Nationalpark, Solvang",61.91666667
Hordalia nr. Röldal,59.81666667
Aldino,46.36666667
"Born, Darß",54.38333333
"Peer Gynt veien, Gala",61.5
