"";"RSAL";"RGALLER";"REARING_NUMBER";"LEG";"N_GALLS";"N_CLEAN GALLS";"N_REAL GALLS";"PARASITISED_GALLS";"UNPARASITISED_GALLS";"TOTAL_PARASITISM RATE"
"12";"Sal1";"Oelaea";"198714E1-J1Oelaea";"20.07.87";22;0;22;20;2;0,909090909
"13";"Sal2";"Obridg";"198714L1-V1Obridg";"20.07.87";32;7;25;15;10;0,6
"14";"Sal3";"Ovaria";"198715A1-V1Ovaria";"22.07.87";66;0;66;30;36;0,454545455
"15";"Sal4";"Oobscu";"198715A-VOobscu";"20.07.87";66;14;52;34;18;0,653846154
"16";"Sal1";"Okriec";"198714A-C1Okriec";"20.07.87";91;0;91;78;13;0,857142857
"17";"Sal3";"Onigri";"198716A-C1Onigri";"22.07.87";92;8;84;27;57;0,321428571
"18";"Sal3";"Ovaria";"198716E1-V1Ovaria";"22.07.87";54;8;46;24;22;0,52173913
"19";"Sal4";"Ofoeti";"198717A-P1Ofoeti";"22.07.87";125;0;125;8;117;0,064
"20";"Sal4";"Oobscu";"198718A-Q1Oobscu";"22.07.87";129;12;117;1;116;0,008547009
"21";"Sal3";"Onigri";"198719A-DOnigri";"22.07.87";14;5;9;1;8;0,111111111
"22";"Sal3";"Ovaria";"198719F-JOvaria";"22.07.87";14;0;14;1;13;0,071428571
"23";"Sal5";"Ohasta";"198719I1-L1Ohasta";"22.07.87";12;0;12;0;12;0
"24";"Sal4";"Ofoeti";"198719T-G1Ofoeti";"22.07.87";42;0;42;1;41;0,023809524
"25";"Sal6";"Oadaph";"198720A-D1Oadaph";"22.07.87";90;0;90;7;83;0,077777778
"26";"Sal3";"Ovaria";"198720E1-V1Ovaria";"22.07.87";72;0;72;9;63;0,125
"27";"Sal7";"Ohelve";"198721A-V1Ohelve";"23.07.87";150;8;142;110;32;0,774647887
"28";"Sal8";"Onival";"198722A-V1Onival";"23.07.87";151;0;151;29;122;0,19205298
"29";"Sal9";"Obridg";"198634H1-M1Obridg";"17.07.86";24;0;24;22;2;0,916666667
"30";"Sal10";"Ovimin";"198636E1-37V1Ovimin";"17.07.86";276;0;276;57;219;0,206521739
"31";"Sal11";"Oproxi";"198638A-J1Oproxi";"18.07.86";142;24;118;102;16;0,86440678
"32";"Sal12";"Oproxi";"198639A-O1Oproxi";"18.07.86";212;6;206;193;13;0,936893204
"33";"Sal13";"Ocolla";"198640A-41V1Ocolla";"20.07.86";384;0;384;148;236;0,385416667
"34";"Sal13";"Ocolla";"198642A-43V1Ocolla";"20.07.86";307;0;307;80;227;0,260586319
"35";"Sal12";"Oproxi";"198645A-V1Oproxi";"22.07.86";170;12;158;149;9;0,943037975
"36";"Sal11";"Oproxi";"198646A-47V1Oproxi";"22.07.86";355;0;355;351;4;0,988732394
"37";"Sal6";"Oadaph";"198648A-JOadaph";"26.07.86";30;0;30;2;28;0,066666667
"38";"Sal11";"Oproxi";"198648M-B1Oproxi";"25.07.86";51;2;49;31;18;0,632653061
"39";"Sal12";"Oproxi";"198649A-H1Oproxi";"26.07.86";102;5;97;93;4;0,958762887
"40";"Sal14";"Osamol";"199045A-ROsamol";"08.08.90";72;6;66;13;53;0,196969697
"41";"Sal15";"Omyrsi";"199045T-48QOmyrsi";"08.08.90";568;43;525;174;351;0,331428571
"42";"Sal16";"Oarcti";"199048S-49D1Oarcti";"08.08.90";240;15;225;54;171;0,24
"43";"Sal17";"Onival";"199049F1-N1Onival";"08.08.90";38;5;33;23;10;0,696969697
"44";"Sal17";"Eboreo";"199050A-51WEboreo";"10.08.90";424;43;381;4;377;0,010498688
"45";"Sal17";"Onival";"199051Y-V1Onival";"10.08.90";116;32;84;16;68;0,19047619
"46";"Sal17";"Oglauc";"199052A-NOglauc";"10.08.90";56;15;41;14;27;0,341463415
"47";"Sal14";"Elappo";"199052I1-Q1Elappo";"10.08.90";54;5;49;0;49;0
"48";"Sal14";"Elappc";"199052P-G1Elappc";"10.08.90";108;2;106;0;106;0
