Column header;Explanation
Year of coll;Year of collection
Rearing;Identification code of individual rearing
leg;Date of collection
country;Country of collection
region;Region of collection
site;Name of site
Ndecdeg;Decimal degrees north
Edecdeg;Decimal degrees east
Elevation;Elevation (m)
Salix;Salix species
Salix author;Author of Salix species
genus;Genus of galler
species;Species of galler
Genus species;Scientific name of galler
Rgaller;Code name of galler species (for R)
author;Author of galler species
code galltype;"Gall types as coded by Kopelke (1999, 2003a,b). For leaf galls, codes are as follows: RK1 = thick-walled, elongated sausage-shaped galls on the upper surface of the leaf; RK2 = thin-walled, kidney-shaped spacious galls transected horizontally by the leaf blade; RK3 = thick-walled, bean-shaped galls with a narrow cavity, transected horizontally by the leaf blade; RK4 = thin to thick-walled, pea-shaped galls at the underside of the leaf "
code galltype simplified;Simplified gall type classification used by Nyman et al. (2000, 2007)
distribution;Distribution of galler species
n galls;Number of galls reared
n clean galls;"Number of galls that were ""fake galls"": the egg-laying galler will often induce fake galls around her real galls to throw off predators"
n real galls;Number or REAL gall reared: use this number!
parasitised galls;Number of galls that were parasitized
unparasitised galls;Number of galls that were unparasitized
total parasitism rate;Rate of parasitism summed across rearing
Anaprostocetus acuminatus (Ratzeburg 1848);Number of individuals of parasitoid/inquiline species
Aprostocetus alveatus Graham 1961;Number of individuals of parasitoid/inquiline species
Aprostocetus tymber (Walker 1839);Number of individuals of parasitoid/inquiline species
Aprostocetus sp.;Number of individuals of parasitoid/inquiline species
Chrysocharis elongata (Thomson 1878);Number of individuals of parasitoid/inquiline species
Cirrospilus vittatus Walker 1838;Number of individuals of parasitoid/inquiline species
Closterocerus trifasciatus Westwood 1833;Number of individuals of parasitoid/inquiline species
Dicladocerus westwoodi Westwood 1832;Number of individuals of parasitoid/inquiline species
Entedon heyeri (Ratzeburg 1848);Number of individuals of parasitoid/inquiline species
Euderus albitarsis (Zetterstedt 1838);Number of individuals of parasitoid/inquiline species
Pediobius saulius (Walker 1839);Number of individuals of parasitoid/inquiline species
Pnigalio nemati (Westwood 1838);Number of individuals of parasitoid/inquiline species
Pnigalio pectinicornis (Linnaeus 1758);Number of individuals of parasitoid/inquiline species
Pnigalio soemius (Walker 1839);Number of individuals of parasitoid/inquiline species
Tetrastichus sp.1;Number of individuals of parasitoid/inquiline species
Tetrastichus sp.2;Number of individuals of parasitoid/inquiline species
Tetrastichus sp.3;Number of individuals of parasitoid/inquiline species
Tetrastichus sp.4;Number of individuals of parasitoid/inquiline species
Tetrastichus sp.5;Number of individuals of parasitoid/inquiline species
Tetrastichus sp.6;Number of individuals of parasitoid/inquiline species
Tetrastichus sp.;Number of individuals of parasitoid/inquiline species
Eurytoma aciculata Ratzeburg 1848;Number of individuals of parasitoid/inquiline species
Eurytoma nobbei Mayr 1878;Number of individuals of parasitoid/inquiline species
Eurytoma salicis Walker 1834;Number of individuals of parasitoid/inquiline species
Eurytoma sp.;Number of individuals of parasitoid/inquiline species
Mymaridae gen. sp.;Number of individuals of parasitoid/inquiline species
Eulonchetron torymoides (Thomson 1878);Number of individuals of parasitoid/inquiline species
Eupelmus urozonus Dalman 1820;Number of individuals of parasitoid/inquiline species
Macroneura vesicularis (Retzius 1783);Number of individuals of parasitoid/inquiline species
Mesopolobus ?longicollis Graham 1969;Number of individuals of parasitoid/inquiline species
Pteromalus cyniphidis (Linnaeus 1758);Number of individuals of parasitoid/inquiline species
Pteromalus dolichurus (Thomson 1878);Number of individuals of parasitoid/inquiline species
Pteromalus euurae Askew 1995;Number of individuals of parasitoid/inquiline species
Pteromalus pontaniae Askew 1985;Number of individuals of parasitoid/inquiline species
Pteromalus sp.;Number of individuals of parasitoid/inquiline species
Sympiesis ?alcalle (Walker 1848);Number of individuals of parasitoid/inquiline species
Torymus sp.;Number of individuals of parasitoid/inquiline species
Chalcidoidea indet.;Number of individuals of parasitoid/inquiline species
